Round: 1 -- workload: SimulationWorkspace/workloads/workload-mid.json
###############################################
############   Run Forrest Run!!   ############
###############################################
Start Time: 12:11:22.751643 - 26/08/2026
Processed request 1, latency 20, pending requests 0 
Processed request 2430, latency 27, pending requests 0 

Processed request 2450, latency 13, pending requests 0 

Processed request 2469, latency 41, pending requests 1 

Processed request 2492, latency 36, pending requests 2 

Processed request 2514, latency 13, pending requests 0 

Processed request 2538, latency 37, pending requests 1 

Processed request 2560, latency 15, pending requests 0 

Processed request 2585, latency 14, pending requests 1 

Processed request 2609, latency 20, pending requests 0 

Processed request 2634, latency 22, pending requests 0 

Processed request 2654, latency 13, pending requests 0 

Processed request 2671, latency 38, pending requests 0 

Processed request 2690, latency 17, pending requests 0 

Processed request 2709, latency 33, pending requests 2 

Processed request 2733, latency 13, pending requests 1 

Processed request 2752, latency 13, pending requests 0 

Processed request 2776, latency 23, pending requests 1 

Processed request 2796, latency 15, pending requests 0 

Processed request 2811, latency 30, pending requests 1 

Processed request 2835, latency 32, pending requests 0 

Processed request 2858, latency 27, pending requests 1 

Processed request 2873, latency 17, pending requests 1 

Processed request 2904, latency 34, pending requests 3 

Processed request 2936, latency 18, pending requests 1 

Processed request 2956, latency 34, pending requests 1 

Processed request 2974, latency 13, pending requests 0 

Processed request 2990, latency 14, pending requests 1 

Processed request 3008, latency 20, pending requests 2 

Processed request 3008, latency 28, pending requests 1 

Processed request 3027, latency 13, pending requests 0 

Processed request 3047, latency 12, pending requests 0 

Processed request 3067, latency 19, pending requests 1 

Processed request 3094, latency 13, pending requests 1 

Processed request 3105, latency 13, pending requests 0 

Processed request 3125, latency 23, pending requests 0 

Processed request 3144, latency 34, pending requests 1 

Processed request 3165, latency 33, pending requests 1 

Processed request 3182, latency 15, pending requests 0 

Processed request 3203, latency 19, pending requests 0 

Processed request 3236, latency 31, pending requests 0 

Processed request 3250, latency 33, pending requests 0 

Processed request 3271, latency 13, pending requests 0 

Processed request 3290, latency 14, pending requests 1 

Processed request 3316, latency 13, pending requests 1 

Processed request 3342, latency 16, pending requests 0 

Processed request 3365, latency 35, pending requests 0 

Processed request 3379, latency 13, pending requests 0 

Processed request 3395, latency 31, pending requests 0 

Processed request 3421, latency 16, pending requests 0 

Processed request 3438, latency 15, pending requests 0 

Processed request 3461, latency 14, pending requests 0 

Processed request 3483, latency 13, pending requests 0 

Processed request 3502, latency 32, pending requests 1 

Processed request 3525, latency 14, pending requests 0 

Processed request 3545, latency 15, pending requests 0 

Processed request 3570, latency 22, pending requests 1 

Processed request 3584, latency 30, pending requests 0 

Processed request 3603, latency 14, pending requests 1 

Processed request 3622, latency 13, pending requests 1 

Processed request 3645, latency 32, pending requests 2 

Processed request 3657, latency 13, pending requests 1 

Processed request 3676, latency 15, pending requests 0 

Processed request 3693, latency 15, pending requests 0 

Processed request 3718, latency 17, pending requests 0 

Processed request 3739, latency 14, pending requests 0 

Processed request 3764, latency 28, pending requests 1 

Processed request 3782, latency 12, pending requests 0 

Processed request 3804, latency 21, pending requests 1 

Processed request 3804, latency 16, pending requests 0 

Processed request 3829, latency 26, pending requests 0 

Processed request 3850, latency 13, pending requests 0 

Processed request 3866, latency 16, pending requests 0 

Processed request 3887, latency 25, pending requests 1 

Processed request 3912, latency 17, pending requests 1 
Processed request 3912, latency 16, pending requests 0 


Processed request 3934, latency 12, pending requests 0 

Processed request 3951, latency 22, pending requests 0 

Processed request 3969, latency 21, pending requests 1 

Processed request 3995, latency 32, pending requests 1 

Processed request 4025, latency 34, pending requests 2 

Processed request 4053, latency 13, pending requests 0 

Processed request 4071, latency 14, pending requests 1 

Processed request 4086, latency 27, pending requests 0 

Processed request 4109, latency 14, pending requests 0 

Processed request 4131, latency 32, pending requests 1 

Processed request 4149, latency 14, pending requests 1 

Processed request 4165, latency 38, pending requests 0 

Processed request 4184, latency 14, pending requests 0 

Processed request 4208, latency 18, pending requests 2 

Processed request 4221, latency 32, pending requests 1 

Processed request 4246, latency 18, pending requests 0 

Processed request 4263, latency 33, pending requests 0 

Processed request 4278, latency 19, pending requests 0 

Processed request 4296, latency 12, pending requests 0 

Processed request 4318, latency 27, pending requests 0 

Processed request 4339, latency 18, pending requests 0 

Processed request 4358, latency 19, pending requests 2 

Processed request 4374, latency 25, pending requests 0 

Processed request 4399, latency 25, pending requests 0 

Processed request 4413, latency 14, pending requests 0 

Processed request 4435, latency 35, pending requests 1 

Processed request 4468, latency 16, pending requests 2 

Processed request 4484, latency 27, pending requests 0 

Processed request 4504, latency 16, pending requests 0 

Processed request 4535, latency 15, pending requests 0 

Processed request 4554, latency 15, pending requests 0 

Processed request 4574, latency 15, pending requests 0 

Processed request 4592, latency 14, pending requests 0 

Processed request 4615, latency 15, pending requests 1 

Processed request 4632, latency 15, pending requests 0 

Processed request 4650, latency 14, pending requests 2 

Processed request 4679, latency 41, pending requests 1 

Processed request 4698, latency 16, pending requests 0 

Processed request 4720, latency 22, pending requests 2 

Processed request 4744, latency 13, pending requests 0 

Processed request 4762, latency 33, pending requests 0 

Processed request 4782, latency 16, pending requests 0 

Processed request 4795, latency 21, pending requests 0 

Processed request 4815, latency 17, pending requests 1 

Processed request 4834, latency 19, pending requests 0 

Processed request 4848, latency 13, pending requests 0 

Processed request 4868, latency 15, pending requests 0 

Processed request 4887, latency 44, pending requests 1 

Processed request 4908, latency 26, pending requests 0 

Processed request 4924, latency 15, pending requests 0 

Processed request 4947, latency 16, pending requests 0 

Processed request 4971, latency 20, pending requests 1 

Processed request 4997, latency 30, pending requests 1 

###############################################
###########   Stop Forrest Stop!!   ###########
###############################################
Run Duration (sec): 261.216634 Total Requests: 5000 - Error Request: 0 - Timing Error Requests: 0 - Average Latency (ms): 21.501400 - Request rate (req/sec) 19.141201
***************************************
